code,name,short_name,source,as_of,status,n_items,n_selling
00080463,,아이앤케이청년주,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,4,4
00080288,,TI,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,4,1
00080303,,피아이에이하인즈,종목명 접두 최빈값 (점유 75%) — 법인명 아님,2026-08-22,derived,4,4
00080167,,글로벌원미국부동,종목명 접두 최빈값 (점유 25%) — 법인명 아님,2026-08-22,derived,4,1
00080164,,Asset,종목명 접두 최빈값 (점유 25%) — 법인명 아님,2026-08-22,derived,4,0
00040092,,삼성상은신종MM,종목명 접두 최빈값 (점유 25%) — 법인명 아님,2026-08-22,derived,4,0
00080172,,마이퍼스트에셋,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,4,4
00130009,,젬스,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,3
00080113,,비욘드스노볼순수,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,3,2
00080235,,포트코리아,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,2
00080284,,캐피탈랜드코리아,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,3
00080230,,코어,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,1
00080249,,메테우스투자금융,종목명 접두 최빈값 (점유 67%) — 법인명 아님,2026-08-22,derived,3,2
00080395,,흥국다이나믹He,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,2
00080147,,엘비IPO혼합전,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,3,2
00080315,,인사이트이그나이,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,3
00080192,,Discover,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,1
00080467,,The황소일반사,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,3
00080277,,블래쉬,종목명 접두 최빈값 (점유 100%) — 법인명 아님,2026-08-22,derived,3,3
00080034,블랙록자산운용,블랙록,미래에셋증권 펀드상세 웹 ADMICN(2026-08-18 관측),2026-08-22,confirmed,3,0
00080269,,파인스트리트EU,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,3,1
00080336,,페블스톤제19호,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,3,3
00080391,,이지스코어플랫폼,종목명 접두 최빈값 (점유 33%) — 법인명 아님,2026-08-22,derived,3,3
